node,community
ФК «Открытие»,4
Александр Пчелинцев,4
ТТК,4
Icon Private Equity,4
Стивен Шварцман,4
Александр Аузан,4
Связьинвест,4
Олег Бударгин,4
Александр Стубб,4
Сергей Калугин,4
Владислав Новый,4
Росавтодor,4
Фридом Финанс,4
Macquarie Renaissance Infrastructure Fund,4
Росимущество,4
Евгений Юрченко,4
Macquarie Renaissance,4
JP Morgan,4
Ernst & Young,4
Анатолий Милюков,4
Газпром-медиа,4
Антон Златопольский,4
Юрий Ковальчук,4
Олег Федоров,4
Мобител,4
Blackstone Group,4
ЦОДД,4
Delta Private Equity,4
Дэвид Бондерман,4
Рубен Аганбегян,4
Сергей Корепанов,4
Интерпроект,4
Михаил Полубояринов,4
РусГидро,4
Росавтодор,4
Дэвид Бенелло,4
Райффайзенбанк,4
Константин Носков,4
Первое коллекторское бюро (ПКБ),5
Тинькофф,5
Борис Титов,5
Кристина Кормилицына,5
Оксфордский университет,5
Артем Аветисян,5
Майкл Калви,5
ГСУ,5
Росбанк,5
Павел Волков,5
Александр Казаков,5
Первого коллекторского бюро,5
Шерзода Юсупова,5
ЭР-Телеком,5
Филипп Дельпаль,5
Алексей Кордичев,5
Baring Vostok Capital Partners BVCP,5
Ваган Абгарян,5
Дельпаль,5
Иван Зюзин,5
Олег Тиньков,5
International Financial Technology Group,5
Петр Авен,5
Максим Владимиров,5
Baring Vostok,5
ФБК,5
Василий Небензя,5
